Profile ID,Case Name,Case Brief Description,URL,Country,Sector,Impact,Data Used,Long Description,Image File Name,Region,Machine Readable(Yes/No/NA),Last updated,Status,Owner,Notes
,AflaMD,Website with the planned expenditures for all the schools in Moldova,http://afla.md,Moldova,Education,Contributes to the increase of transparency in public education spending,Public spending on schools and educational resources from the Ministry of Education of Moldova,"<br>In the midst of various cases of <a target=""_blank"" href=""http://www.channelnewsasia.com/news/world/moldova-to-vote-for-new-president-as-banking-scandal-festers/3244276.html"">appropriation of public funds by public officials</a>, Moldova is facing with an <a target=""_blank"" href=""http://www.transparency.org/news/pressrelease/corruption_index_reflects_moldovas_disappointing_response_to_corruption"">increasing perception of public sector corruption</a>. In this context, more transparency of government operations are needed to improve the ability of citizens to hold the Moldovan government accountable. Developed by software company FusionWorks, AflaMD is a website that address public spending in the education sector: it  displays expenditures for all the schools in Moldova.<br><br>Relying on a database of over 1500 education institutions, AflaMD aims to bring more transparency in the domain of education by presenting clearly the planned spending for all the schools in the country. The data, which does not contain any personal information, is sourced from Moldova’s national data repository in a machine-readability format, and subsequently presented intuitively in AflaMD’s website. To provide a more complete profile for each school, AflaMD complements public data with some crowdsourced data, such as schools’ contact information.",alfamd_edu_eca.png,Europe & Central Asia,Yes,Nov 27,Final,AA,
45,Aidin,A website that improves the patient-placement process in choosing a post-acute provider,http://www.myaidin.com/,United States,Healthcare,Reduces asymmetric information between patients and post-acute care providers,"Health data from the U.S. Department of Health and Human Services: Nursing Home Compare, Home Health Compare, Patient Outreach and Hospital Integration","<br>In the current post-care provider environment in the US, patients have little to no information on whether a provider matches their needs, other than word-of-mouth or the occasional internet review; most patients end up choosing the provider nearest to their house. Aidin aims to stop this practice, and instead create choice based on the quality of service and care, generating business for high-quality providers and moving patients away from low performers. The website that gives detailed information on different nursing homes and other post-acute care providers to patients who are in the process of choosing between a multitude of options.<br><br>Aidin presents patients with a 1-page profile for every PAC that offers admission. These profiles are created by combining the diagnosis and demographics of a patient with open datasets such as ""Nursing Home Compare,"" from the Center for Medicare & Medicaid Services. Additional information on the profile is formed from Aidin’s own tracking of readmission rates for PACs, patient reviews, and photos of each PAC.<br><br>Out of the patients presented with Aidin’s profiles of providers in their area, 80% will choose a high-performing PAC. By reducing the amount of asymmetric information between patients and providers, Aidin is making an impact on readmission rates to PACs, as well as directing PAC focus to quality of care instead of advertisements and airtime.",Aidin_hea_na.png,North America,NA,Nov 15,Final,TG,
180,BRE,"Advisory services for the built environment sector through research, testing, and training practices",http://www.bre.co.uk/,United Kingdom,"Housing, construction & real estate",Provides cost effective and regulation certified resources for building construction,"Code for Sustainable Homes Certificates from the UK Department for Communities and Local Government , number of permanent new dwellings completed in the UK from the Office for National Statistics","<br>In the current post-care provider environment in the US, patients have little to no information on whether a provider matches their needs, other than word-of-mouth or the occasional internet review; most patients end up choosing the provider nearest to their house. Aidin aims to stop this practice, and instead create choice based on the quality of service and care, generating business for high-quality providers and moving patients away from low performers. The website that gives detailed information on different nursing homes and other post-acute care providers to patients who are in the process of choosing between a multitude of options.<br><br>Aidin presents patients with a 1-page profile for every PAC that offers admission. These profiles are created by combining the diagnosis and demographics of a patient with open datasets such as ""Nursing Home Compare,"" from the Center for Medicare & Medicaid Services. Additional information on the profile is formed from Aidin’s own tracking of readmission rates for PACs, patient reviews, and photos of each PAC.<br><br>Out of the patients presented with Aidin’s profiles of providers in their area, 80% will choose a high-performing PAC. By reducing the amount of asymmetric information between patients and providers, Aidin is making an impact on readmission rates to PACs, as well as directing PAC focus to quality of care instead of advertisements and airtime.",BRE_hou_eca.jpg,Europe & Central Asia,NA,Nov 16,Final,KK,
38,Budeshi,Website that provides access to public budget and procurement data in Uganda,http://www.budeshi.ug,Uganda,Governance,Improves access to public procurement and budget information,"Procurement and budget data from Uganda Ministry of Energy, Oil and Mineral Development and Uganda's Ministry of Transport","<br>Corruption and poor governance have been <a target=""_blank"" href=""http://www.globalissues.org/article/590/corruption"">shown</a> to represent major causes for high levels of poverty (e.g. poor health, illiteracy, inadequate basic needs, inadequate resources, inaccessibility of socioeconomic services, insecurity), posing significant obstacles to the development and provision of social services. On average <a target=""_blank"" href=""http://www.open-contracting.org/wp-content/uploads/2016/05/OCP2016-Africa-brief-web.pdf"">half of government spending is on public contracts</a> in many African countries. In this context, the area of public procurement has been the focus of attention by transparency advocates and public officials who are actively involved in contributing to public money being spent honestly, fairly, and effectively. In recent years, the notion of Open Contracting - norms, practices and methodologies for increased disclosure and participation in public contracting - has been gradually been <a target=""_blank"" href=""http://blogs.worldbank.org/governance/new-generation-action-promises-open-government-contracting-africa"">introduced</a>. Open contracting consists of the disclosure of public procurement information, covering a variety of contract types, to allow for the effective monitoring and accountability of public spending.<br><br>Budeshi (which is Hausa for ""Open it""), is a website that offers budget and procurement data from the Ugandan government. The data is available in machine-readable format according to Open Contracting Data Standards (OCDS), so that public users can interact with it make their own comparisons. Developed in 2011 by the Africa Freedom of Information Centre (AFIC), a non-governmental organization based in Uganda,<a target=""_blank"" href=""http://www.budeshi.ug/"">Budeshi</a> aims to make information on public contracts and the procurement process more coherent across the public procurement value chain. This, in turn, would be helpful to prevent some costly corruption investigations and prosecutions as well as inefficiencies across the procurement value chain.",budeshi_gov_ssa.png,Sub-Saharan Africa,Yes,Nov 27,Final,GM,
188,Budget Stories,Budget and government transparency in Moldova,http://www.budgetstories.md/,Moldova,Governance,Provides analyses and tools accessible to a political layperson on Moldova’s budget and policies,"Budget data from Moldova’s Ministry of Finance; economic, energy and environment data from the National Bureau of Statistics","<br>Budget Stories, created by Expert Grup in Moldova, is a website providing budget information made available from the Moldovan government, as well as from a number of other sources such as the World Bank. Expert Grup produces reports on economic, environmental, and energy forecasts in Moldova. They have made several projects on these topics, focusing on ways to visualize large datasets and information taken from Moldova’s open data portal. The website’s Budget Calendar and OpenSpending budget treemap projects both visualize this data in visual ways more accessible to an average citizen. They also provide the data in an <a target=""_blank"" href=""http://www.budgetstories.md/bugetul-scolii-2014/"">online data portal</a>.<br><br>The <a target=""_blank"" href=""http://www.budgetstories.md/anul-bugetar-2015/"">Budget Calendar</a> project is a grid including the time of the year on the y axis and the steps towards approving a budget on the x axis. Within each cell, Expert Grup links the user to government reports relevant to that specific piece of the budget process, streamlining what could be a tedious search through multiple government sites to find this information. Expert Grup’s OpenSpending <a target=""_blank"" href=""http://www.budgetstories.md/bugetul-2014/"">budget treemap</a> also uses this open data, compiling it into a colorful visualization that gives the viewer a comparative understanding on where Moldova fits in comparison to other countries’ parliaments.",BudgetStories_bus_eca.png,Europe & Central Asia,Yes,Nov 27,Final,TG,
208,Calcbench-Inc,Conducts financial data research and analysis on public companies,https://www.calcbench.com/,United States,Finance and insurance,Provides standardized financial data in machine-readable formats for public use,Corporate financial data and records from the U.S. Securities & Exchange Commission (SEC),"<br>Over the years, the U.S. government has sought to standardize its data, including in the financial sector. The U.S. Securities and Exchange Commission (SEC) publishes corporate reports on their <a href=""https://www.sec.gov/investor/pubs/edgarguide.htm"" >publicly accessible database</a>, known as EDGAR. For corporations, they are required to file parts of these reports in electronic and machine-readable formats. Calcbench, a financial services company, turns financial statements received from the SEC and uses algorithms to convert them into machine-readable formats through their XBRL algorithm, known as ‘eXtensible Business Reporting Language’.<br><br>Calcbench's data are derived from over 9,000 public companies and are made available for investors, auditors, and academics to manipulate and conduct their own analysis. Their data derives from <a href=""https://knowledge.calcbench.com/hc/en-us/articles/223610568-Management-Discussion-and-Analysis"">primary financial statements and footnotes section of annual and quarterly filings</a>, and more recently, the earnings press releases and proxy statements. While performing these services, Calcbench is able to track industry and economic trends, as well as monitor the quality of data, in real-time and accurate.",Calcbench_fin_na.png,North America,NA,Nov 8,Final,KK,
256,Centre for Governance and Public Accountability (CGPA),Civil society organization working for promotion of public accountability and good governance in Pakistan,http://www.c-gpa.org/,Pakistan,Governance,Informs citizens on key governance issues and strengthens state response to citizens’ grievances,"District level education budget of various districts in Pakistan; Municipal budget data of Peshawar District; Education, health, police, legal data from Khyber Pakhtunkhwa District","<br>The Centre for Governance and Public Accountability (CGPA) was established in 2011 to improve the levels of trust between state and society in Pakistan. CGPA’s work can be grouped into 6 main areas: open governance, rule of law, democratic governance, decentralization and devolution, promotion of pluralism, and social accountability. Since the enactment of the Freedom of Information (FOI) legislation in 2013, the CGPA has focused on the implementation of this law and published extensive research on the response by government agencies in different districts in Pakistan to information requests.<br><br>As a promoter of open governance and open data, the CGPA has produced several studies on <a target=""_blank"" href=""http://www.c-gpa.org/images/publications/FATA_BA_Report.pdf"">education budgeting</a>, <a target=""_blank"" href=""http://www.c-gpa.org/images/publications/budget_analysis_town_iii_peshawar_district.pdf"">municipal budgeting</a>, and <a target=""_blank"" href="""">others</a> which have contributed with analyses on areas such as <a target=""_blank"" href=""http://www.c-gpa.org/images/publications/social_audit_water_senitation.pdf"">public education governance</a> and <a target=""_blank"" href=""http://www.c-gpa.org/index.php?option=com_content&view=article&id=129:improving-primary-education-governance-in-khyber-pukhtunkhwa&catid=27&Itemid=221"">service delivery</a>, the <a target=""_blank"" href=""http://www.c-gpa.org/index.php?option=com_content&view=article&id=126:social-audit-of-water-and-sanitation-schemes-in-mardan-district-of-khyber-pakhtunkhwa-province-pakistan&catid=27&Itemid=221"">right to drinking safe water and sanitation</a>, and public accountability at the local level. . The CGPA is also dedicated to making public data, such as data from the School Census, available in machine-readable format for everyone to access and use. To do so, it has plans to build its own data portal to make more data available to the citizens of Pakistan.",CGPA_gov_sar.png,South Asia,Yes,Nov 15,Final,GM,
271,Chequeado,A fact-checking service that monitors political activities in Argentina,http://chequeado.com/,Argentina,Media and communications,Enforces accountability in political discourse,Public safety data from the Ministry of Public Safety and Attorney General of the Province of Buenos Aires; Legal data from Argentina’s Ministry of Justice; Demographics and social data from Argentina’s Census; Economics statistics from Argentina’s National Directorate of External Sector Statistics,"<br>Chequeado is a nonpartisan group that verifies the claims of politicians, opinion leaders, entrepreneurs, media and other institutions, using reliable sources and data. The services is intended to help reduce the margin of intellectual impunity in the political discourse, and to contribute to more democratic transparency in Argentina. It relies heavily on open data for its investigations of political activity and fact-checking.<br><br>In this context, Chequeado created an online course on fact-checking and data journalism as an attempt to train more journalists in using data as a valuable tool in their work. Importantly, Chequeado also developed <a target=""_blank"" href=""http://dato.chequeado.com"">“Dato Chequeado""</a> which is a collaborative platform to which anyone can upload datasets that are then verified, cataloged and published. This platform hosts a variety of open datasets, which provide users with reliable information that can be accessed easily, and ultimately contributes to more data being available, as well as the improvement of the quality of public debate.",Chequeado-med-LAC.jpg,Latin America & Caribbean,NA,Nov 16,Final,GM,
278,City Scale,Information portal that provides citizens and professionals access to data on the different conditions of life,http://www.cityscale.com.ua/,Ukraine,"Housing, construction & real estate",Empowers urban citizens with relevant statistics about their city,"Ukraine's local crime data, environment data (pollution levels), healthcare data (hospital facilities), transportation (public transport stop, schedules, and routes)","<br>In light of the expansion of urban areas around the world, it can be difficult sometimes to decide where to live. In Ukraine, the website CityScale aims to help solve this problem by providing citizens and professionals with access to data on the different conditions of life, such as housing costs, utility rates, crime, the environment, infrastructure and others.<br><br>CityScale utilizes data from various public sources, and subsequently delivers intuitive visualizations. Additionally, as not all the government data being used is accessible in machine-readability format CityScale has scanned public documents and scraped data from unstructured data formats, such as PDF or HTML, and provides access to the data in more useful formats so that it can be reused by others. In addition to access to machine-readable data on various urban statistics, CityScale provides its registered users a option for download through their API.",cityscale_HOU_ECA.png,Europe & Central Asia,Yes,Nov 23,Final,GM,
301,Code for Ghana,"Developer group focused on using open data to promote responsive, innovative and effective governance",http://www.codeforghana.org,Ghana,Governance,Empowers civil society with access and skills to make use of public data,"Election data from the Electoral Commission of Ghana, education data from the Ministry of Education, and demographic statistics from Ghana Statistical Service","<br>The main objective of Code for Ghana is to build an active open data ecosystem in Ghana which is supported by free access to public data in a machine-readability format. With its first national open data initiative starting in 2012, Ghana has a progressive open data ecosystem in the region. As part of the wider “Code for Africa” initiative, which aims to use open data and technology to promote responsive, innovative and effective governance, Code for Ghana builds civic apps and platforms that promote citizen engagement. For example, in the context of general elections for President and Members of Parliament of Ghana taking place in December of 2016, <a target=""_blank"" href=""https://ghana.gottovote.cc/"">GotToVoteGhana</a>, is a website developed by members of Code for Ghana to help citizens find information on voter registration, namely the correct registration center for them.<br><br>Additionally, Code for Ghana also organizes events to share knowledge and expertise on the value of open data. In these events, participants are encouraged to explore datasets from various domains of Ghanaian society, from education to demographic statistics. Code for Ghana also works with CSOs, NGOs and government organisations in assisting them in bringing meaning to their datasets.",codeforghana_GOV_SSA.png,Sub-Saharan Africa,Yes,Nov 23,Final,GM,
