Profile ID,Case Name,Case Brief Description,URL,Country,Sector,Impact,Data Used,Long Description,Image File Name,Region,Machine Readable(Yes/No),Last updated,Status,Owner,Notes
45,Aidin,A website that improves the patient-placement process in choosing a post-acute provider,http://www.myaidin.com/,United States,Healthcare,Reduces asymmetric information between patients and post-acute care providers,"Health data from the U.S. Department of Health and Human Services: Nursing Home Compare, Home Health Compare, Patient Outreach and Hospital Integration","<br>In the current post-care provider environment in the US, patients have little to no information on whether a provider matches their needs, other than word-of-mouth or the occasional internet review; most patients end up choosing the provider nearest to their house. Aidin aims to stop this practice, and instead create choice based on the quality of service and care, generating business for  high-quality providers and moving patients away from low performers.  The website that gives detailed information on different nursing homes and other post-acute care providers to patients who are in the process of choosing between a multitude of options.<br><br>Aidin presents patients with a 1-page profile for every PAC that offers admission. These profiles are created by combining the diagnosis and demographics of a patient with open datasets such as ""Nursing Home Compare,"" from the Center for Medicare & Medicaid Services. Additional information on the profile is formed from Aidin’s own tracking of readmission rates for PACs, patient reviews, and photos of each PAC.<br><br>Out of the patients presented with Aidin’s profiles of providers in their area, 80% will choose a high-performing PAC. By reducing the amount of asymmetric information between patients and providers, Aidin is making an impact on readmission rates to PACs, as well as directing PAC focus to quality of care instead of advertisements and airtime.",Aidin_hea_na.png,North America,No,Nov 15,Final,AA,
180,BRE,"Advisory services for the built environment sector through research, testing, and training practices",http://www.bre.co.uk/,United Kingdom,"Housing, construction & real estate",Provides cost effective and regulation certified resources for building construction,"Code for Sustainable Homes Certificates from the UK Department for Communities and Local Government , number of permanent new dwellings completed in the UK from the Office for National Statistics","<br>For the UK where construction constitutes 7% of its GDP, demands continue to grow considering <a target=""_blank"" href=""https://www.designingbuildings.co.uk/wiki/UK_construction_industry#Government_construction_strategy"">climate change and sustainability issues</a> BRE, formerly the Building Research Establishment, provides advisory services through research, testing, and certifications for the built environment sector. Founded in 1917 by the UK Department of Scientific and Industrial Research (DSIR), BRE is now an independent group, working in 77 countries, with over two million registered buildings, and 500,000 certificates.<br><br>One of the BRE services, BREEAM, or the <a target=""_blank"" href=""http://www.breeam.com/projects/explore/index.jsp"">Building Research Establishment Environmental Assessment Method</a>, analyzes buildings and projects to make cost effective and regulation certified decisions through open data. Services include access lists of BREEAM assessors and assessments, maps of BREEAM certifications, data visualizations on projects. Sources of government data include for example the Department for Communities and Local Government; BRE <a target=""_blank"" href=""http://www.breeam.com/filelibrary/Briefing%20Papers/BREEAM-Annual-Digest---August-2014.pdf"">verifies the total number of Code for Sustainable Homes certificates</a>. BREEAM plans to create a comprehensive BRE Data Lab and databases such as the GreenBookLive and Red Book, which lists environmental products and services.",BRE_hou_eca.jpg,Europe & Central Asia,No,Nov 16,Final,AA,
188,Budget Stories,Budget and government transparency in Moldova,http://www.budgetstories.md/,Moldova,Governance,Provides analyses and tools accessible to a political layperson on Moldova’s budget and policies,"Budget data from Moldova’s Ministry of Finance; economic, energy and environment data from the National Bureau of Statistics","<br>Budget Stories, created by Expert Grup in Moldova, is a website providing budget information made available from the Moldovan government, as well as from a number of other sources such as the World Bank. Expert Grup produces reports on economic, environmental, and energy forecasts in Moldova. They have made several projects on these topics, focusing on ways to visualize large datasets and information taken from Moldova’s open data portal. The website’s  Budget Calendar and OpenSpending budget treemap projects both visualize this data in visual ways more accessible to an average citizen. They also provide the data in an <a target=""_blank"" href=""http://www.budgetstories.md/bugetul-scolii-2014/"">online data portal</a>.<br><br>The <a target=""_blank"" href=""http://www.budgetstories.md/anul-bugetar-2015/"">Budget Calendar</a> project is a grid including the time of the year on the y axis and the steps towards approving a budget on the x axis. Within each cell, Expert Grup links the user to government reports relevant to that specific piece of the budget process, streamlining what could be a tedious search through multiple government sites to find this information. Expert Grup’s OpenSpending <a target=""_blank"" href=""http://www.budgetstories.md/bugetul-2014/"">budget treemap</a> also uses this open data, compiling it into a colorful visualization that gives the viewer a comparative understanding on where Moldova fits in comparison to other countries’ parliaments.",BudgetStories_bus_eca.png,Europe & Central Asia,Yes,Nov 15,Final,AA,
208,Calcbench-Inc,Conducts financial data research and analysis on public companies,https://www.calcbench.com/,United States,Finance and insurance,Provides standardized financial data in machine-readable formats for public use,Corporate financial data and records from the U.S. Securities & Exchange Commission (SEC),"<br>Over the years, the U.S. government has sought to standardize its data, including in the financial sector. The U.S. Securities and Exchange Commission (SEC) publishes corporate reports on their <a href=""https://www.sec.gov/investor/pubs/edgarguide.htm"" >publicly accessible database</a>, known as EDGAR. For corporations, they are required to file parts of these reports in electronic and machine-readable formats. Calcbench, a financial services company, turns financial statements received from the SEC and uses algorithms to convert them into machine-readable formats through their XBRL algorithm, known as ‘eXtensible Business Reporting Language’.<br><br>Calcbench's data are derived from over 9,000 public companies and are made available for investors, auditors, and academics to manipulate and conduct their own analysis. Their data derives from <a href=""https://knowledge.calcbench.com/hc/en-us/articles/223610568-Management-Discussion-and-Analysis"">primary financial statements and footnotes section of annual and quarterly filings</a>, and more recently, the earnings press releases and proxy statements. While performing these services, Calcbench is able to track industry and economic trends, as well as monitor the quality of data, in real-time and accurate.",Calcbench_fin_na.png,North America,No,Nov 8,Final,AA,
256,Centre for Governance and Public Accountability (CGPA),Civil society organization working for promotion of public accountability and good governance in Pakistan,http://www.c-gpa.org/,Pakistan,Governance,Promotion of citizens’ voices on key governance issues and strengthening state response to citizens’ grievances,"District level education budget of various districts in Pakistan; Municipal budget data of Peshawar District; Education, health, police, legal data from Khyber Pakhtunkhwa District","<br>The Centre for Governance and Public Accountability (CGPA) was established in 2011 to improve the levels of trust between state and society in Pakistan. CGPA’s work can be grouped into 6 main areas: open governance, rule of law, democratic governance, decentralization and devolution, promotion of pluralism, and social accountability. Since the enactment of the Freedom of Information (FOI) legislation in 2013, the CGPA has focused on the implementation of this law and published extensive research on the response by government agencies in different districts in Pakistan to information requests.<br><br>As a promoter of open governance and open data, the CGPA has produced several studies on <a target=""_blank"" href=""http://www.c-gpa.org/images/publications/FATA_BA_Report.pdf"">education budgeting</a>, <a target=""_blank"" href=""http://www.c-gpa.org/images/publications/budget_analysis_town_iii_peshawar_district.pdf"">municipal budgeting</a>, and <a target=""_blank"" href="""">others</a> which have contributed with analyses on areas such as <a target=""_blank"" href=""http://www.c-gpa.org/images/publications/social_audit_water_senitation.pdf"">public education governance</a> and <a target=""_blank"" href=""http://www.c-gpa.org/index.php?option=com_content&view=article&id=129:improving-primary-education-governance-in-khyber-pukhtunkhwa&catid=27&Itemid=221"">service delivery</a>, the <a target=""_blank"" href=""http://www.c-gpa.org/index.php?option=com_content&view=article&id=126:social-audit-of-water-and-sanitation-schemes-in-mardan-district-of-khyber-pakhtunkhwa-province-pakistan&catid=27&Itemid=221"">right to drinking safe  water and sanitation</a>, and public accountability at the local level. . The CGPA is also dedicated to making public data, such as data from the School Census, available in machine-readable format for everyone to access and use. To do so, it has plans to build its own data portal to make more data available to the citizens of Pakistan.",CGPA_gov_sar.png,South Asia,Yes,Nov 15,Final,AA,
271,Chequeado,A fact-checking service that monitors political activities in Argentina,http://chequeado.com/,Argentina,Media and communications,Enforces accountability in political discourse,Public safety data from the Ministry of Public Safety and Attorney General of the Province of Buenos Aires; Legal data from Argentina’s Ministry of Justice; Demographics and social data from Argentina’s Census; Economics statistics from Argentina’s National Directorate of External Sector Statistics,"<br>Chequeado is a nonpartisan group that verifies the claims of politicians, opinion leaders, entrepreneurs, media and other institutions, using reliable sources and data. The services is intended to help reduce the margin of intellectual impunity in the political discourse, and to contribute to more democratic transparency in Argentina. It relies heavily on open data for its investigations of political activity and fact-checking.<br><br>In this context, Chequeado created an online course on fact-checking and data journalism as an attempt to train more journalists in using data as a valuable tool in their work. Importantly, Chequeado also developed <a target=""_blank"" href=""http://dato.chequeado.com"">“Dato Chequeado""</a> which is a collaborative platform to which anyone can upload datasets that are then verified, cataloged and published. This platform hosts a variety of open datasets, which provide users with reliable information that can be accessed easily, and ultimately contributes to more data being available, as well as the improvement of the quality of public debate.",Chequeado-med-LAC.jpg,Latin America & Caribbean,No,Nov 16,Final,AA,
,Cultural Routes,"App which helps users plan walking and biking routes, linking routes to historical and cultural sites in Moscow",http://culturalroutes.ru/,Russian Federation,"Arts, culture and tourism",Reduces time spent browsing tourist information sites,"Bicycle parking, museums, and city taxi parking datasets from the Department of Information Technology of the Government of Moscow","<br>Cultural Routes is an app that plans walking and biking routes around historical and cultural sites in Moscow. The app takes the location of taxicab stands and bike share locations into account, and tracks which museums are accessible to visit for people with disabilities.<br><br>Cultural Routes, one of several apps built by BNet, a Russian app developer company, takes all of its data from the Russian government’s open data portal. Currently, the application uses bicycle parking, museum, and city taxi parking datasets from data.mos.ru, and overlays this information onto a map. In addition to Cultural Routes’ original route function, BNet has added three other route recommendation functions: the first shows popular routes, the second takes the user’s location and finds nearby museums, the third lists museums most recommended by Cultural Routes users.<br><br>By mapping existing museum, bike, and taxi information from Russia’s government data portal, the app reduces the time spent for tourists and museum-goes looking through multiple websites and planning their day along bikeshare apps, google maps, and taxi services.",CulturalRoutes_art_eca.png,Europe & Central Asia,No,Nov 16,Final,AA,
408,De Olho nas Metas,"Platform for monitoring the progress of municipal projects in São Paulo, Brazil",http://deolhonasmetas.org.br,Brazil,Governance,Helps civil society monitor municipal projects in their community,"Education data from the Brazilian Ministry of Education and Brazilian Institute of Geography and Statistics (IBGE), government operations data from the municipality of São Paulo","<br>According to Brazilian law, in every mandate the mayor of a municipality is obliged to submit a plan describing the goals that will be implemented during his administration. These goals cover various topics ranging from environment to education, or any other areas of intervention in the city. In 2013, a new legislation enabled the creation of Participatory Councils, civil society groups that , among other things, monitor the execution of the municipal budget, public services performance indicators, and the implementation of the proposed plan within their geographical area.<br><br>Relying on data pulled from the municipality of São Paulo <a target=""_blank"" href=""http://planejasampa.prefeitura.sp.gov.br"">website</a>, the platform “De Olho nas Metas"" was created to facilitate monitoring of the progress of municipal projects. The tool also aims to  improve communication between citizens, Participatory Councils, and public officials. For a more complete and transparent view of projects, the platform also incorporates data from the Treasury Court of São Paulo and displays information on the companies that were contracted for the execution of each project.<br><br>“De Olho nas Metas"" has also produced <a target=""_blank"" href=""http://www.todospelaeducacao.org.br//arquivos/biblioteca/de_olho_nas_metas_2013_141.pdf"">reports</a> providing recommendations for the improvement of the Brazilian education system supported by the analysis of open education data (e.g. literacy rates, education budgeting) from the Ministry of Education, and the Brazilian Institute of Geography and Statistics (IBGE).",DeOlhoNasMetas_gov_lac.png,Latin America & Caribbean,No,Nov 16,Final,AA,
460,Economics Association of Zambia,"Undertaking research, training, education, publication and consultancy in the field of economics and related disciplines",http://eaz.org.zm,Zambia,Governance,Recommendations and advocacy on economic policies to reduce poverty in Zambia,"Economic indicators, health indicators, household surveys, living conditions survey, demographic survey, economic census, population census, agriculture census from Zambia’s Central statistical office (CSO) and the Central Bank of Zambia","<br>While Zambia’s economy has continued to grow at an average annual rate in recent years, global headwinds and domestic pressures have strained the Zambian economy. Since the 1960s, the Economics Association of Zambia (EAZ), a non-partisan body established in the 1960s, has promoted the socio-economic development of Zambia by undertaking research, training, education, publication and consultancy in the field of economics and related disciplines.<br><br>In its role of political advisor, the EAZ takes advantage of public economic data to conduct policy research. Complementary to its own primary data collection, EAZ sources open data mainly from the Zambian Central statistical office and the Central Bank of Zambia. The type of data being used covers a wide range - economic and health indicators, population and economic census, health demographic surveys, and others. For example, in its website, which also serves as an advocacy platform, the EAZ has contributed to the dissemination of the results of 2015 Living Conditions Monitoring Survey, a poverty assessment <a target=""_blank"" href=""http://eaz.org.zm/2015-living-conditions-monitoring-survey-results/"">study</a> conducted by the Central statistical office to monitor and highlight the living conditions of the population of Zambia. In this way, the EAZ seeks to help the Government of Zambia achieve its objectives towards poverty reduction and strengthening the linkages between budgeting and planning.",EconomicsAssociationZambia_bus_ssa.png,Sub-Saharan Africa,Yes,Nov 15,Final,AA,
462,Eduweb,"Centralized portal of open education data (schools, colleges and universities) in Kenya",http://www.eduweb.co.ke,Kenya,Education,"Provides a simple interactive mechanism to identify, locate, and evaluate schools","Education data (name of schools, location, contact, facilities, differentiating information) in Kenya’s Ministry of Education","<br>Developed in 2012 by <a target=""_blank"" href=""http://www.rivercrosstracking.com/"">Rivercross Technologies</a> Eduweb is an online platform that helps citizens explore schools in Kenya. Eduweb provides  an online centralized portal where users can easily access information on relevant education institutions (schools, colleges and universities) country-wide. The portal, which is also available on mobile phones, aims to help parents looking for schools for their children, graduates looking for post-secondary opportunities, or others generally seeking to further their education. While making use of open education data, such as the names, locations, contacts of schools in Kenya, Eduweb offers a simple tool to effectively identify and compare different schools, so that parents, students, or others, can make informed decisions about their education.",Eduweb-Edu-AFR.png,Sub-Saharan Africa,Yes,Nov 15,Final,AA,
